time/ms;on
561425;1
561560;0
561887;1
563003;0
563888;1
564334;0
564598;1
565255;0
565588;1
566371;0
567374;1
568135;0
569096;1
569470;0
569658;1
570293;0
570539;1
571176;0
571674;1
572159;0
572273;1
572743;0
573879;1
574627;0
575215;1
576240;0
576813;1
577327;0
578046;1
578447;0
579608;1
579840;0
580122;1
581171;0
582288;1
583171;0
583510;1
583890;0
584963;1
585628;0
586614;1
587054;0
587219;1
588075;0
588534;1
589132;0
589402;1
589670;0
590294;1
591453;0
591631;1
592078;0
592238;1
592631;0
593634;1
594465;0
595390;1
596179;0
597031;1
597698;0
598875;1
599088;0
600011;1
600212;0
600412;1
600612;0
600812;1
601012;0
601212;1
601412;0
601612;1
601812;0
605012;1
606144;0
607069;1
608046;0
608598;1
608908;0
609634;1
609936;0
611131;1
611832;0
612788;1
613082;0
614223;1
615115;0
616089;1
616539;0
617276;1
617828;0
618797;1
618990;0
619831;1
620951;0
621402;1
621590;0
622609;1
623108;0
624014;1
624311;0
625220;1
626343;0
626999;1
628179;0
628640;1
629638;0
629896;1
630509;0
630767;1
631464;0
632405;1
633246;0
633831;1
634702;0
635775;1
636252;0
636415;1
637526;0
637780;1
638949;0
639800;1
640759;0
641385;1
642247;0
643277;1
644163;0
644605;1
644860;0
645636;1
646440;0
646571;1
647519;0
648623;1
649162;0
649750;1
650558;0
650747;1
650981;0
651610;1
652631;0
653153;1
653838;0
655006;1
655595;0
656275;1
657206;0
657351;1
657685;0
658797;1
659447;0
660212;1
661252;0
661854;1
662276;0
663443;1
663990;0
664788;1
665235;0
665779;1
666939;0
668072;1
669190;0
669597;1
670343;0
671427;1
672451;0
673211;1
674408;0
675060;1
675477;0
675839;1
676072;0
676849;1
677249;0
677827;1
678503;0
678983;1
679568;0
680584;1
681249;0
681866;1
682417;0
683027;1
683963;0
684950;1
685305;0
685499;1
686048;0
686190;1
687153;0
688228;1
689413;0
690379;1
691499;0
692632;1
693742;0
693957;1
694920;0
695657;1
696108;0
696750;1
697841;0
698322;1
699160;0
700290;1
700422;0
701528;1
701802;0
702372;1
703213;0
703776;1
704686;0
705658;1
706563;0
707219;1
708294;0
708463;1
709363;0
710408;1
710689;0
711716;1
712180;0
712429;1
713318;0
714080;1
714305;0
714844;1
715744;0
716015;1
716863;0
717498;1
717841;0
718235;1
719116;0
719468;1
720407;0
721134;1
721483;0
721834;1
722179;0
722757;1
723431;0
724617;1
725581;0
726414;1
727230;0
727541;1
727837;0
728988;1
729770;0
730309;1
730744;0
731800;1
732429;0
733582;1
734398;0
735442;1
736446;0
737023;1
737428;0
737627;1
738544;0
739176;1
740257;0
741383;1
742230;0
742564;1
742748;0
742864;1
743905;0
