time/ms;on
559584;1
560319;0
561440;1
561575;0
561902;1
563018;0
563903;1
564349;0
564612;1
565270;0
565603;1
566385;0
567390;1
568150;0
569111;1
569485;0
569673;1
570308;0
570554;1
571191;0
571689;1
572174;0
572288;1
572758;0
573894;1
574643;0
575230;1
576255;0
576828;1
577342;0
578061;1
578462;0
579623;1
579855;0
580137;1
581186;0
582303;1
583187;0
583526;1
583905;0
584979;1
585643;0
586628;1
587069;0
587234;1
588091;0
588549;1
589147;0
589417;1
589685;0
590308;1
591468;0
591646;1
592093;0
592253;1
592646;0
593649;1
594480;0
595405;1
596194;0
597046;1
597713;0
598890;1
599103;0
600045;1
600246;0
600446;1
600646;0
600846;1
601046;0
601246;1
601446;0
601646;1
601846;0
605046;1
606178;0
607103;1
608080;0
608632;1
608942;0
609668;1
609970;0
611166;1
611866;0
612822;1
613116;0
614257;1
615148;0
616123;1
616573;0
617310;1
617862;0
618831;1
619024;0
619865;1
620985;0
621436;1
621624;0
622643;1
623142;0
624048;1
624345;0
625254;1
626377;0
627033;1
628213;0
628674;1
629672;0
629930;1
630543;0
630801;1
631498;0
632439;1
633280;0
633865;1
634736;0
635809;1
636286;0
636449;1
637560;0
637814;1
638983;0
639834;1
640793;0
641419;1
642281;0
643311;1
644197;0
644639;1
644894;0
645670;1
646474;0
646605;1
647553;0
648657;1
649196;0
649784;1
650592;0
650781;1
651015;0
651644;1
652665;0
653187;1
653871;0
655040;1
655629;0
656309;1
657240;0
657385;1
657719;0
658831;1
659481;0
660246;1
661286;0
661888;1
662310;0
663477;1
664023;0
664822;1
665269;0
665812;1
666973;0
668106;1
669224;0
669631;1
670377;0
671461;1
672485;0
673245;1
674442;0
675094;1
675511;0
675873;1
676107;0
676883;1
677283;0
677861;1
678537;0
679017;1
679602;0
680619;1
681283;0
681900;1
682451;0
683061;1
683997;0
684983;1
685339;0
685533;1
686082;0
686224;1
687187;0
688262;1
689447;0
690413;1
691533;0
692666;1
693776;0
693991;1
694954;0
695691;1
696142;0
696784;1
697875;0
698356;1
699194;0
700324;1
700456;0
701562;1
701836;0
702406;1
703247;0
703811;1
704720;0
705692;1
706597;0
707253;1
708328;0
708497;1
709397;0
710442;1
710723;0
711750;1
712214;0
712463;1
713352;0
714114;1
714339;0
714878;1
715778;0
716049;1
716897;0
717532;1
717875;0
718269;1
719150;0
719502;1
720441;0
721168;1
721517;0
721868;1
722213;0
722791;1
723465;0
724651;1
725615;0
726447;1
727264;0
727575;1
727871;0
729022;1
729804;0
730343;1
730778;0
731834;1
732463;0
733616;1
734432;0
735476;1
736479;0
737057;1
737462;0
737661;1
738578;0
739210;1
740291;0
741417;1
742264;0
742598;1
742782;0
742899;1
743939;0
744825;1
745281;0
745649;1
746679;0
747223;1
748289;0
748812;1
749815;0
750986;1
752029;0
753169;1
753471;0
753910;1
754813;0
755656;1
755761;0
756768;1
756996;0
757830;1
758199;0
758443;1
758929;0
759915;1
760803;0
760993;1
762005;0
762243;1
762467;0
763067;1
764163;0
765289;1
766339;0
767250;1
767840;0
768370;1
769018;0
769635;1
769746;0
770069;1
770971;0
771790;1
771938;0
772708;1
773535;0
774409;1
774520;0
775611;1
776054;0
777029;1
778035;0
778763;1
778916;0
779859;1
781051;0
782062;1
782245;0
783046;1
784175;0
784310;1
785228;0
786106;1
786391;0
786781;1
787383;0
787986;1
788605;0
789636;1
790616;0
791568;1
791741;0
792769;1
793266;0
793815;1
794092;0
795072;1
795382;0
796335;1
796850;0
797193;1
797400;0
798574;1
799442;0
799574;1
800746;0
800930;1
801769;0
802890;1
803668;0
804700;1
805876;0
807065;1
807823;0
809008;1
809593;0
809860;1
810023;0
810868;1
811476;0
812099;1
813103;0
813911;1
814524;0
815575;1
816013;0
817126;1
817542;0
818322;1
819188;0
819865;1
820330;0
820926;1
821937;0
822187;1
823366;0
824465;1
824734;0
825096;1
826114;0
826222;1
826340;0
827031;1
827190;0
827952;1
828666;0
828832;1
829732;0
830054;1
830589;0
831219;1
831665;0
831843;1
832552;0
833622;1
833932;0
835097;1
835853;0
